ID,Title,Geek_Rating,Avg_Rating,Num_of_Voters,BGP_Price,Price,Year,Complexity,Min_Players,Max_Players,Min_Time,Max_Time,Min_Age,Type1,Type2
171623,The Voyages of Marco Polo,7.554,7.77,25801,149.99,,2015,3.18,2,4,40,100,12,Strategy,
,Arcs,7.551,8.08,11774,,54.49,2024,3.42,2,4,60,120,14,Strategy,
,Splendor Duel,7.547,7.89,16222,,32.99,2022,2,2,2,30,30,10,Family,Strategy
225694,Decrypto,7.546,7.77,25575,18.38,24.99,2018,1.83,3,8,15,45,12,Party,
163068,Trickerion: Legends of Illusion,7.538,7.97,12015,50.99,65,2015,4.26,2,4,60,180,14,Strategy,
155821,Inis,7.536,7.82,22047,63.99,70.39,2016,2.95,2,4,60,90,14,Strategy,
37111,Battlestar Galactica: The Board Game,7.53,7.73,37228,33.99,,2008,3.25,3,6,120,180,14,Thematic,
310873,Carnegie,7.529,7.98,10953,55.98,66.26,2022,3.82,1,4,90,120,12,Strategy,
217372,The Quest for El Dorado,7.522,7.71,29970,39.97,,2017,1.94,2,4,30,60,10,Family,
271055,Dwellings of Eldervale,7.522,8.13,8701,99.97,99.99,2020,3.25,1,5,60,150,14,Strategy,
236457,Architects of the West Kingdom,7.521,7.71,31366,45,52.5,2018,2.76,1,5,60,80,12,Strategy,
264220,Tainted Grail: The Fall of Avalon,7.515,8.05,13502,89.97,100.97,2019,3.36,1,4,60,120,14,Thematic,
12,Ra,7.51,7.67,29224,21.95,224.99,1999,2.31,2,5,45,60,12,Strategy,
122515,Keyflower,7.51,7.72,24017,55.99,58.55,2012,3.34,2,6,90,120,12,Strategy,
170042,Raiders of the North Sea,7.508,7.73,25672,70.59,59.95,2015,2.57,2,4,60,80,12,Strategy,
42,Tigris & Euphrates,7.508,7.7,29467,59.95,,1997,3.48,2,4,60,120,14,Strategy,
40834,Dominion: Intrigue,7.507,7.69,34317,79.99,33.89,2009,2.41,2,6,30,30,13,Strategy,
310100,Nemesis: Lockdown,7.507,8.28,7350,149.99,131.85,2022,3.91,1,5,90,180,12,Thematic,
18602,Caylus,7.5,7.71,29638,38.99,124.99,2005,3.79,2,5,60,150,12,Strategy,
203993,Lorenzo il Magnifico,7.498,7.83,14774,44.95,42.5,2016,3.29,2,4,60,120,12,Strategy,
146021,Eldritch Horror,7.498,7.74,38097,63.99,59.95,2013,3.32,1,8,120,240,14,Thematic,
73439,Troyes,7.497,7.71,24474,49.99,,2010,3.38,1,4,90,90,12,Strategy,
,Wyrmspan,7.492,7.99,11751,,59.99,2024,2.8,1,5,90,90,14,Strategy,
269385,The Lord of the Rings: Journeys in Middle-Earth,7.49,7.9,17701,95.99,104.98,2019,2.68,1,5,60,120,14,Thematic,
172386,Mombasa,7.49,7.84,13670,46.08,,2015,3.89,2,4,75,150,12,Strategy,
,Wonderland's War,7.485,8.06,9206,,,2022,3.05,2,5,45,125,13,Strategy,
4098,Age of Steam,7.484,7.86,12153,24.99,87.99,2002,3.86,1,6,120,120,13,Strategy,
163412,Patchwork,7.478,7.58,71106,23.99,32.08,2014,1.6,2,2,15,30,8,Abstract,Family
36218,Dominion,7.476,7.6,94428,30.06,39.99,2008,2.35,2,4,30,30,13,Strategy,
741,Trajan,7.475,7.75,18472,39,,2011,3.63,2,4,60,120,12,Strategy,
12493,Twilight Imperium: Third Edition,7.474,7.79,19455,69.99,159.99,2005,4.26,3,6,180,240,14,Strategy,Thematic
218417,Aeon's End: War Eternal,7.472,8.24,6343,47.99,42.33,2017,2.93,1,4,60,60,14,Strategy,
144733,Russian Railroads,7.47,7.73,18579,41.99,157.84,2013,3.4,2,4,120,120,13,Strategy,
43015,Hansa Teutonica,7.465,7.74,16657,24.45,54.13,2009,3.09,2,5,45,90,12,Strategy,
,Arkham Horror: The Card Game â€“ Revised Core Set,7.462,8.62,4443,,47.96,2021,3.76,1,4,45,180,14,Customizable,
