Rank,BGGid,Name,Price
14856,21635,Number Chase,6.15
14857,203266,Cortex Challenge GEO,17.02
14859,172550,Harry Hopper,25.09
14860,37732,Boss Kito,15.26
14866,191879,Rival Kings,14.73
14876,7847,Blood on the Snow: The Battle of Suomussalmi,13.44
14877,40958,6 nimmt! Junior,8.8
14878,256792,The Oregon Trail Game: Journey to Willamette Valley,33.99
14880,8589,Viele Dinge,10.65
14883,148430,Downtown,17.49
14890,38784,Flames of War: Firestorm Campaign – Operation Bagration,50.42
14891,145304,Cthulhu's Vault,23.4
14892,9869,De Bull Run à Appomatox,20.2
14894,56208,The Lash of the Turk,56.69
14897,275349,Folded Wishes,19.99
14900,281477,Lawrence of Arabia: The Arab Revolt 1917-18,12.43
14907,73243,Kasserine: Baptism of Fire,20.2
14921,147852,Mission: Combat!,14.08
14924,159041,Vikings on the Volga,50.42
14926,231611,You've got problems,27.01
14929,288654,Tipsy,41.08
14931,200396,Long Range Desert Group: Special Operations Against Rommel 1941-1942,18.84
14935,189603,Flower Fairy,29.99
14940,146247,Showdown: Icons,22.97
14941,4983,Der Herr der Ringe: Die Zwei Türme,16.05
14942,201144,Merrill's Marauders: Commandos in Burma 1943-1944,20.2
14946,342016,Tetris,29.27
14948,294773,La Résistance,41.08
14951,533,Labyrinth: The Card Game,14.99
14952,235867,Unicorn Glitterluck: A Party for Rosalie,29.99
14959,263089,Zoocracy,58.63
14967,234052,Doomseeker,33.16
14970,259724,EXIT Kids: Code Breaker,33.98
14971,18011,Chaturanga,30.45
14972,218842,Yukon Salon,10.47
14973,181476,Grandpa Beck's Nuts about Mutts,16.99
14977,6842,Battles of the Ancient World: Marathon and Granicus,33.71
14979,135794,Méchanlou,9.97
14981,42493,Giro D'Italia Card Game,12.95
14982,11289,Operation Whirlwind: Budapest – November 1956,21.95
14983,184247,Expedition Zetta,63.24
14985,5927,Duel in the Desert: Rommel's Campaign in North Africa,9.39
14990,11525,Successors,26.95
14991,181928,Last Front: The Strategy Card Game,20.48
14993,7622,Morsecode ···–,14.62
14995,128219,Shafausa,31.01
14997,116194,Déclic!? Family,13.5
14998,239621,Human Era,19.01
15003,8067,Royalists & Roundheads III,51.65
15004,5447,Wealth of Nations,40.97
15005,9907,Kharkov 1943,17.49
15012,205667,Les Misérables: Eve of Rebellion,17.97
15015,15110,Partners,45.65
15016,175742,Alien Wars,7.99
15017,103755,Exposaurus,29.72
15031,129086,Startropolis,45.78
15034,166183,Palaces,24.95
15037,24485,Take Your Best Shot,14.95
15039,171663,Attila,17.6
15041,886,Der Garten des Sonnenkönigs,19.95
15055,294348,Top Gun Strategy Game,24.99
15057,1793,VI Against Rome,47.22
15058,248421,Sonic the Hedgehog: Crash Course,35.25
15061,251987,Rainbow Knights,16.82
15062,246757,Long Cow,11.99
15063,85338,Antigua,1.35
15066,11404,LetterFlip,11
15073,73230,Showdown: The Coming Indo-Pakistani War,33.71
15075,255695,Venture Angels,14.97
15079,105305,Coraxis & Co.,17.95
15083,276641,Super Punch Fighter,39.99
15084,282410,Escape Pods,11.99
15085,16355,The Difference Between Women & Men,18.75
15087,10533,Central Command: Superpower Confrontation in the Straits of Hormuz,26.95
15090,162727,Victory through Industry,18.78
15093,11482,Case Green,33.71
15094,8102,Typhon sur le Pacifique,14.79
15095,118539,Medieval Conspiracy,21.42
15096,2392,Mastermind,19.99
15099,35137,Bezzerwizzer Familieudgave,39.85
15100,5453,Granada: The Fall of Moslem Spain,47.22
15101,249047,The Abandons,16.21
15103,182799,Take a Train,26.24
15105,136177,Super Race,9.56
15106,329710,"Loot, Shoot, Whisky",5.81
15107,174529,Waterloo: Enemy Mistakes,47.99
15108,298442,Novgorod,5.86
15114,209014,Front Line No Komrades,31.63
15120,274605,Pandaï,29.26
15122,235696,POK,17.55
15125,160550,GodZ,25.24
15127,164829,Flea Marketeers,25.6
15134,288606,Coraline: Beware the Other Mother,15.97
15136,22464,Margin for Error,5.95
15141,223222,Midnight Taboo,29.99
15144,11339,Korea '95,43.37
15146,20630,Corintho,41.45
15154,209578,"Little Bird, Big Hunger",9.27
15161,20708,Alamein: History’s Turning Point 1942,202.66
15166,57834,Counter-Attack! Arras,12.85
15169,191893,Gigi Gnomo,32.01
15172,32253,Caveman,6.46
15176,38524,Kimaloé,23.95
15177,183511,Destiny Aurora: Renegades,93.85
15178,124372,Le Petit Poucet,14.95
15180,146245,Kings of Artifice,19.21
15183,16272,Little Round Top,31.01
15184,266842,The Walking Dead: Something to Fear,14.97
15192,144957,Battle of the Scheldt: The Devil's Moat,31.63
15193,286834,Superlemming,25.81
15195,99044,The Battle of Lepanto,33.71
15196,331126,Scrap Racer,56.84
15200,349,Halunken & Spelunken,31.75
15204,328569,Mint Bid,10.99
15219,9152,The Damned Die Hard: Philippines '41,141.9
15224,4036,Anzio Beachhead,22.9
15227,272711,Monsters vs. Heroes: Volume 2 – Cthulhu Mythos,1.99
15228,208134,Danger the Game,29.99
15235,223332,King's Life,23.99
15237,308028,Drop Drive,50
15238,186799,Cardline: Animals 2,12.54
15240,166650,Gingerdead House,23.47
15242,129326,Lebanon '82: Operation Peace for Galilee,32.81
15243,22176,"Lest Darkness Fall: Rome in Crisis, AD 235 – 285",33.71
15244,224039,Farsight,46.6
15246,151952,Gathering Storm,117.33
15247,221059,Little Action,24.87
15248,13103,Triolet,33.71
15250,2725,Star Wars: Escape From The Death Star,26.95
15256,64657,Sticht oder Nicht,23.42
15257,233080,Book of Dragons,20.2
15260,7995,Quits,25.45
15261,40653,Walter Wick Can You See What I See?,9.95
15263,243757,Gangster City,15.24
15265,246814,Trool Park,35.16
15266,244913,Brainwaves: The Brilliant Boar,10.95
15267,94571,Oh Gnome You Don't!,22.47
15269,182556,Shinobi,10.78
15271,40440,Sector 41,32.43
15281,27007,For Bloody Honor: The Russian Civil War,40.46
15283,153056,The War for Turkish Liberation,60.74
15286,119109,"Go Goblin, Go!",23.36
15291,125148,Lap Dance,30.32
15297,180908,Alan's Adventureland,27.02
15311,217015,Level 8 Master,10.96
15318,148,Die Glücksritter,36.75
15323,9843,Barbarossa 1941,14.79
15325,194536,Back to the Future: OUTATIME,11.7
15329,231559,Quirk!,16.21
15333,103937,If I'm Going Down...,39.85
15334,42275,Black Prince: Crecy & Navarette,26.95
15338,190523,CATS: a sad but necessary cycle of violent predatory behavior,22.24
15339,11527,Friedland,18.84
15345,228419,Baby Cruise,10.56
15347,19399,Socken zocken,19.99
15351,13818,Jurassic Jumble,18.95
15354,41107,Onexeno,13.45
15356,139026,Q•bitz Extreme,32.36
15358,220137,Scurvy Dice,23.99
15359,31558,"First Blood: Second Marne, 15 July 1918",26.95
15365,169768,Space Opera,14.08
15366,180157,Magical Treehouse,23.99
15372,73245,Arnhem: The Farthest Bridge,31.01
15374,265219,Chicken Time Warp,19.89
15382,9204,Cherkassy Pocket: Encirclement at Korsun,64.8
15400,302421,SpongeBob SquarePants Fluxx,22
15409,156224,Foretold: Rise of a God,39.99
15412,166333,Primiera,11.15
15418,29291,Tako Judo,20.95
15423,165587,DOG Cards,9.73
15427,9861,France 1940,14.79
15434,31159,Piratatak,10.96
15435,9033,The Marcher Lords: The Norman Conquest of Wales,14.95
15440,180565,Die geheimnisvolle Drachenhöhle,41.07
15443,223149,Village of Horror,12.91
15447,73233,Golan: The Last Syrian Offensive,31.63
15449,237630,Cortex Challenge 2: Kids,12.83
15453,163144,Scheffeln,9.27
15454,73241,Bastogne: A Desperate Defense,35.06
15461,31604,"Civil War in the Far West: The New Mexico Campaign, 1862",26.95
15467,24083,Desert Bazaar,15.05
15468,215259,The Sock Game,21.27
15475,325830,Don't Talk to Strangers,13.97
15478,274296,Wordsmith,14
15481,7981,Paradux,22.95
15483,144310,Artifact,36.98
15484,18765,Shabadabada,16.37
15487,4177,ShowBiz Shuffle,12.36
15490,140179,De Poorters van Nieuwstad,44.61
15492,157673,Pints of Blood,29.29
15493,253819,Monopoly: Deadpool,27.02
15503,25477,"Fredericksburg: The Union Repulsed, Dec. 13, 1862",16.32
15510,112840,Mine Shift,10.81
15513,298376,MEOW,22.24
15514,76481,Persian Incursion,83.72
15515,254029,Grand Dog Park,15.88
15518,19630,Bone Wars: The Game of Ruthless Paleontology,12
15519,217680,Mexican Standoff,19.19
15520,221298,NewSpeak,24.25
15524,6040,Desert Storm: The Mother of All Battles,26.95
15527,58696,Bugs,6.73
15529,243698,Djinn,65.87
15548,286831,Panic Diner,21.07
15550,9496,Burma,54.89
15551,202896,Package!?,15.26
15556,143841,Saalfeld: Prelude to Jena – 10 October 1806,16.14
15562,20953,Piratissimo,32.92
15564,10256,Thirty Years War: the Great War 1618-1648,43.17
15565,323118,Crack the Code,23.99
15566,224122,AVES,14.7
15569,4740,"Run Silent, Run Deep",43.17
15571,313539,Something Wild! Villains,7.47
15572,269175,Wooly Whammoth,34.39
15576,321711,My Very First Games: Rhino Hero Junior,14.99
15577,31557,The Egyptian Campaign,40.46
15580,129315,Cactus Air Force: Air War Over the Solomons,18.84
15586,8132,Winter Fury: The Battle of Tolvajärvi 1939,24.25
15592,193328,Blanc-Manger Coco,29.23
15605,273,Africa 1880,29.65
15610,205495,1001,18.29
15611,4281,Freeloader,5
15616,171862,Vikings: The Board Game,44.97
15618,83199,Mille Grazie,23.47
15620,12059,"The Ottomans: Rise of the Turkish Empire, 1453-1571",33.71
15621,38826,San Juan Hill: The Santiago Campaign 1898,21.55
15622,89611,Digger,14.67
15623,5994,Tsushima,20.2
15625,248157,Deadpool vs The World,24.99
15626,39834,Glenn's Gallery,21.95
15627,105004,Sarena,26.41
15629,286236,Poisons,19.75
15632,4082,Can't Stop the Turtles,7.45
15634,262164,Mob Sitters,24.25
15647,290131,Cleocatra,18.95
15653,341009,Armonia,17.99
15657,32969,Innsmouth Escape,25.25
15660,300088,"Knock, Knock! Dungeon!",12.79
15662,118326,Vignobles,40.25
15669,8405,Hamburger Hill,36.41
15682,218632,Grumpf,23.99
15684,20645,Tenakee,32.75
15686,147892,Councils & Contracts,13.17
15688,244460,Invisible,60.01
15689,139374,DTC,12.85
15698,104814,Magic ABC Duel,8.08
15703,233206,Werebeasts,16.43
15704,218854,Invisible Ink,21.01
15711,32428,Rugby World,40.95
15720,848,Tip Tap,21.7
15722,193695,Let Them Eat Cake,22.79
15723,265571,Monopoly: Game of Thrones,35.13
15725,212610,Munchkin Wonderland,21.97
15744,8816,Frenzy,11.99
15748,23081,HeroCard Cyberspace,18.9
15756,153811,Wu Wei: Journey of the Changing Path,58.36
15771,317722,Mythalix,22.09
15772,33024,Mapominoes: Europe,14.99
15776,65796,Big Pirate,36.59
15781,87288,Cinco,22.17
15784,25665,Red Russia,26.45
15786,15311,Halli Galli Extreme,17.02
15788,191364,Twilight Squabble,12.74
15796,19046,Ruckus,9.6
15800,251137,Vietnam: Rumor of War,80.51
15803,300008,Fish Club,4.99
15807,22205,Trapture,13.95
15808,8755,Destruction of Army Group Center: The Soviet Summer Offensive,17.49
15813,121787,RYŪ,40.52
15816,15407,TATATA!,6.67
15818,194438,SixStix,13.59
15823,105280,Können Schweine fliegen? Mitbring-Spiel,7.85
15824,269564,Captain Marvel: Secret Skrulls,22.99
15827,244150,Arbra Kadabra,21.95
15828,255335,Shit Happens: Too Shitty for Work,14.73
15831,42311,My First BrainBox,13.6
15834,136032,A Thunder Upon the Land: The Battles of Narva and Poltava,43.17
15835,25795,Hexago Continuo,6
15837,109005,Jagdfieber,13.97
15843,176651,Cantankerous Cats,24.99
15845,276622,Borderlands: Tiny Tina's Robot Tea Party,16.99
15847,7947,Lucky Catch,6.95
15849,9512,"Chancellorsville: Pinnacle of Victory, April 30 - May 5, 1863",40.46
15854,40416,Martians!!!,19.45
15857,143520,Monster Mansion,39.51
15858,60579,Poo: The Card Game,18.99
15871,168654,Stier zoekt Bier,13.5
15872,205884,Schwupps,5.81
15875,17577,Granny Apples,4.79
15882,23777,Pieces of Eight,15.39
15885,230890,Animal upon Animal: Memory Stacking,24
15886,193029,Tiffin,29.95
15892,8457,Condottieri: The Battle of Castagnaro,12.09
15893,7145,"Catz, Ratz and Batz",6.39
15897,201305,Running with the Bulls,31.99
15900,183346,My Very First Games: Little Garden,29.99
15907,305498,Tomorrow Dies Today,105.59
15915,28258,Ubongo Mini,11.47
15942,192235,Difference Junior,12.85
15955,40198,Oktoberfest,31.5
15956,102145,Defeat Into Victory: The Final Campaigns in Burma,39.11
15958,269072,Feelinks Revelations,14.97
15964,1750,Knots,9.85
15966,38868,Zanziar,35.2
15968,157014,ESSEN,51.64
15969,27857,Blindside,5.95
15970,11407,Matching Madness,9.25
15977,285712,Tan-tan Caravan,20.49
15987,313085,Sleep Tight,21.95
15988,168446,Doggy GO!,15.95
15993,254227,Crazy Eggz,19.99
15996,313540,Something Wild! Tim Burton's The Nightmare Before Christmas,7.99
15999,287692,Kippelino,15.84
16000,107604,Privacy No Limit,25.7
16001,232385,Rat Trap,13.89
16003,33157,Aviation Tycoon,47.99
16006,3924,Smart Mouth,10.45
16014,32016,Gumball Rally,8.95
16017,257081,My Hero Academia: The Card Game,17.99
16022,13830,Metallurgie,8.78
16027,244531,Flicky Spaceships,32.43
16028,208807,Rainbow Rage,17.03
16031,229319,Human Interface: Be a Better Human,93.07
16032,193031,Coal Country,17.49
16033,93044,Tohuwabohu,14.5
16035,11790,Leapin' Lily Pads,6.45
16038,208800,Ceres: Operation Stolen Base,22.9
16044,2937,Diceland,25
16049,179320,High Command Rapid Engagement,6.04
16050,14117,Soldier Raj,31.45
16055,33723,LeCardo,5.4
16058,40657,Funny Business,17.95
16062,253861,Black Skull Island,18.29
16068,204138,Women vs. Men Alias,25.09
16070,22299,Marlborough: War of the Spanish Succession,58.04
16072,7920,Snowstorm,10.95
16083,9277,Leuthen 1757,16.14
16086,275703,Phone Bomb,16.82
16087,29352,Lupusburg,14.95
16091,876,Tennis Masters,29.25
16094,13829,Garten-Zwerge e.V.,9.43
16101,26244,Candy,14.62
16102,33964,Shokoba,9.95
16103,142653,IncrediBrawl,27.58
16105,275085,Maiko,31.69
16107,288062,Kakerlaken Sushi,15.08
16115,119525,Antartik,15.14
16116,256915,Dice & Dragons,24.25
16118,15139,Rapidcroco,14.02
16119,271762,Oh My Gold!,10.44
16123,13378,Mukden: Climax of the Russo-Japanese War,35.06
16124,247324,Atlandice,31.99
16125,260901,Kakerlacula,43.53
16126,175418,Aura,20.79
16137,136523,Full Moon,21.6
16138,116849,Rimtik,13.5
16148,136566,BodgerMania,21.71
